flow_id,src_ip,src_port,dst_ip,dst_port,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,Label,protocol
192.168.1.95-52.182.143.208-50531-443-6,52.182.143.208,443,192.168.1.95,50531,05/04/2025 01:13:58,45.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,20,22222.222222222223,22222.222222222223,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,16385,1026,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-35.174.127.31-50317-443-6,192.168.1.95,50317,35.174.127.31,443,05/04/2025 01:13:08,111994419.0,17,11,2080,1844,239,0,122.3529411764706,117.76509519827522,263,0,167.63636363636363,128.32869727950387,35.03746021487017,0.2500124582100828,4147941.444444444,7001662.412936666,15910310.0,0.0,111994419.0,6999651.1875,7987975.804981571,15910310.0,1800.0,96012555,9601255.500000002,8054816.028276392,16011344,0,1,0,0,0,340,220,0.1517932781989788,0.0982191800111039,0,263,143.51724137931032,120.93700269433528,14625.758620689658,0,1,0,0,1,0,0,0,0.0,148.64285714285714,122.3529411764706,167.63636363636363,0,0,0,0,0,0,17,2080,11,1844,1025,289,9,20,243534.0,362644.2306172815,1065855.0,95623.0,15755668.714285713,357445.94408838666,15910310,14945460,BENIGN,6
192.168.1.95-20.189.173.27-50382-443-6,192.168.1.95,50382,20.189.173.27,443,05/04/2025 01:13:33,80718412.0,2,3,2,0,1,1,1.0,0.0,0,0,0.0,0.0,0.0247774943838092,0.061943735959523,20179603.0,23539706.00184191,45007983.0,67191.0,45077482.0,45077482.0,0.0,45077482.0,45077482.0,80648913,40324456.5,6718529.119503204,45075174,35573739,0,0,0,0,40,84,0.0247774943838092,0.0371662415757138,0,1,0.5,0.5477225575051661,0.2999999999999999,0,0,0,0,1,0,0,0,1.0,0.6,1.0,0.0,0,0,0,0,0,0,2,2,3,0,1023,0,1,20,68345.0,1632.0024509785517,69499.0,67191.0,40290861.0,6671017.907768499,45007983,35573739,BENIGN,6
192.168.1.115-239.255.255.250-64904-1900-17,192.168.1.115,64904,239.255.255.250,1900,05/04/2025 01:13:08,13072880.0,15,0,1875,0,125,125,125.0,0.0,0,0,0.0,0.0,143.42669710117434,1.1474135768093947,933777.142857143,1362166.822023243,3010547.0,100702.0,13072880.0,933777.142857143,1362166.822023243,3010547.0,100702.0,0,0.0,0.0,0,0,0,0,0,0,120,0,1.1474135768093947,0.0,125,125,125.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,133.33333333333334,125.0,0.0,0,0,0,0,0,0,15,1875,0,0,0,0,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,17
192.168.1.115-224.0.0.251-5353-5353-17,192.168.1.115,5353,224.0.0.251,5353,05/04/2025 01:13:02,98653976.0,31,0,7058,0,920,49,227.67741935483863,236.0326795307201,0,0,0.0,0.0,71.54298575862771,0.3142296059106629,3288465.866666666,7529244.105062252,30007609.0,10088.0,98653976.0,3288465.866666666,7529244.105062252,30007609.0,10088.0,0,0.0,0.0,0,0,0,0,0,0,248,0,0.3142296059106629,0.0,49,920,223.06250000000003,233.65744674491933,54595.802419354826,0,0,0,0,0,0,0,0,0.0,230.25806451612905,227.67741935483872,0.0,0,0,0,0,0,0,31,7058,0,0,0,0,30,8,7843631.0,9044802.098314147,18097663.0,999185.0,24710405.666666668,6433174.423844602,30007609,17551764,BENIGN,17
192.168.1.95-104.18.27.90-50290-443-6,192.168.1.95,50290,104.18.27.90,443,05/04/2025 01:13:45,45063944.0,2,2,2,0,1,1,1.0,0.0,0,0,0.0,0.0,0.0443813794904414,0.0887627589808828,15021314.666666668,25962575.65952577,45000314.0,25975.0,45026289.0,45026289.0,0.0,45026289.0,45026289.0,45037969,45037969.0,0.0,45037969,45037969,0,0,0,0,40,64,0.0443813794904414,0.0443813794904414,0,1,0.6,0.5477225575051661,0.2999999999999999,0,0,0,0,1,0,0,0,1.0,0.75,1.0,0.0,0,0,0,0,0,0,2,2,2,0,2056,9,1,20,25975.0,0.0,25975.0,25975.0,45000314.0,0.0,45000314,45000314,BENIGN,6
192.168.1.49-239.255.255.250-50201-1900-17,192.168.1.49,50201,239.255.255.250,1900,05/04/2025 01:13:59,60479343.0,21,0,6969,0,359,311,331.85714285714283,19.827470121741992,0,0,0.0,0.0,115.22942635140728,0.347225994171266,3023967.15,13416284.081830606,60023432.0,15510.0,60479343.0,3023967.15,13416284.081830606,60023432.0,15510.0,0,0.0,0.0,0,0,0,0,0,0,168,0,0.347225994171266,0.0,311,359,330.909090909091,19.85401264686356,394.1818181818181,0,0,0,0,0,0,0,0,0.0,346.6666666666667,331.85714285714283,0.0,0,0,0,0,0,0,21,6969,0,0,0,0,20,8,241662.0,0.0,241662.0,241662.0,60023432.0,0.0,60023432,60023432,BENIGN,17
192.168.1.1-192.168.1.95-443-50546-6,192.168.1.1,443,192.168.1.95,50546,05/04/2025 01:14:23,16.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,125000.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,20,62500.0,62500.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,274,1022,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-72.25.64.32-50083-443-6,192.168.1.95,50083,72.25.64.32,443,05/04/2025 01:13:14,90221065.0,3,3,3,0,1,1,1.0,0.0,0,0,0.0,0.0,0.0332516580246531,0.0665033160493062,18044213.0,24612641.680241723,45007807.0,68157.0,90152538.0,45076269.0,5511.190252567952,45080166.0,45072372.0,90152908,45076454.0,169.7056274847714,45076574,45076334,0,0,0,0,60,60,0.0332516580246531,0.0332516580246531,0,1,0.5714285714285714,0.5345224838248487,0.2857142857142856,0,0,0,0,1,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,3,3,3,0,1022,512,2,20,70258.0,2971.262694545873,72359.0,68157.0,45006011.0,2539.9275580220788,45007807,45004215,BENIGN,6
192.168.1.115-239.255.255.250-58277-1900-17,192.168.1.115,58277,239.255.255.250,1900,05/04/2025 01:13:23,90249867.0,30,0,3750,0,125,125,125.0,0.0,0,0,0.0,0.0,41.55130777090231,0.3324104621672185,3112064.379310345,4566415.686275399,9804105.0,96482.0,90249867.0,3112064.379310345,4566415.686275399,9804105.0,96482.0,0,0.0,0.0,0,0,0,0,0,0,240,0,0.3324104621672185,0.0,125,125,125.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,129.16666666666666,125.0,0.0,0,0,0,0,0,0,30,3750,0,0,0,0,29,8,203504.66666666663,1838.0603907380184,205936.0,200236.0,9800878.444444444,2829.14590075828,9804105,9794582,BENIGN,17
192.168.1.192-224.0.0.251-5353-5353-17,192.168.1.192,5353,224.0.0.251,5353,05/04/2025 01:13:45,74083296.0,11,0,830,0,90,58,75.45454545454545,16.711454971746992,0,0,0.0,0.0,11.203605195967524,0.1484815146453527,7408329.600000001,9652393.16783621,29836637.0,1001757.0,74083296.0,7408329.600000001,9652393.16783621,29836637.0,1001757.0,0,0.0,0.0,0,0,0,0,0,0,88,0,0.1484815146453527,0.0,58,90,74.0,16.711454971746992,279.27272727272725,0,0,0,0,0,0,0,0,0.0,80.72727272727273,75.45454545454545,0.0,0,0,0,0,0,0,11,830,0,0,0,0,10,8,1763878.25,1502839.438563631,4018137.0,1011230.0,16506136.75,9718671.888209224,29836637,8948162,BENIGN,17
140.82.112.25-192.168.1.95-443-50283-6,192.168.1.95,50283,140.82.112.25,443,05/04/2025 01:13:38,74996727.0,4,6,60,50,29,1,15.0,16.165807537309522,25,0,8.333333333333334,12.909944487358056,1.4667306747933144,0.1333391522539377,8332969.666666667,15184606.19748303,45003091.0,211.0,74949761.0,24983253.666666668,17377980.457309887,45049617.0,14948766.0,74952506,14990501.2,18373114.915070448,45051303,46737,0,0,0,0,80,144,0.053335660901575,0.0800034913523626,0,29,10.09090909090909,13.471856185801164,181.4909090909091,0,0,0,0,1,0,0,0,1.0,11.1,15.0,8.333333333333334,0,0,0,0,0,0,4,60,6,50,1023,74,3,20,46390.0,2018.0007433100711,48212.0,44221.0,24936787.33333333,17377929.05071172,45003091,14900325,BENIGN,6
192.168.1.49-239.255.255.250-52323-1900-17,192.168.1.49,52323,239.255.255.250,1900,05/04/2025 01:13:35,60320515.0,24,0,10212,0,450,384,425.5,27.191750667212027,0,0,0.0,0.0,169.29563681609812,0.397874587111864,2622631.0869565224,12438162.757139971,59680329.0,16420.0,60320515.0,2622631.0869565224,12438162.757139971,59680329.0,16420.0,0,0.0,0.0,0,0,0,0,0,0,192,0,0.397874587111864,0.0,384,450,423.84,27.88320880625709,777.4733333333329,0,0,0,0,0,0,0,0,0.0,441.5,425.5,0.0,0,0,0,0,0,0,24,10212,0,0,0,0,23,8,320803.0,0.0,320803.0,320803.0,59680329.0,0.0,59680329,59680329,BENIGN,17
