StartTime         ,LastTime          ,Proto ,SrcAddr       ,Sport ,DstAddr         ,Dport ,State ,Dur      ,SrcBytes ,DstBytes ,sTtl ,dTtl ,SrcLoss ,DstLoss ,SrcLoad         ,DstLoad         ,SrcPkts ,DstPkts ,SrcWin  ,DstWin ,SrcTCPBase ,DstTCPBase ,sMeanPktSz  ,dMeanPktSz  ,SrcJitter     ,DstJitter     ,SIntPkt     ,DIntPkt     ,TcpRtt   ,SynAck   ,AckDat
02-12-25 22:45:54 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,48282 ,142.251.186.132 ,  443 ,CON   ,3.680200 ,    7402 ,   57404 ,  64 , 120 ,      0 ,      0 ,   15783.514648 ,  124429.273438 ,     45 ,     69 , 101504 ,266496 ,1552994840 ,3087765548 , 164.488892 , 831.942017 , 12546.646870 , 10186.688133 ,  83.378133 ,  53.489398 ,0.042976 ,0.042921 ,0.000055
02-12-25 22:45:55 ,02-12-25 22:45:55 ,    6 ,172.21.198.66 ,59956 ,142.250.113.95  ,  443 ,FIN   ,0.112340 ,    4094 ,    3699 ,  64 , 121 ,      0 ,      0 ,  269182.843750 ,  374207.406250 ,     13 ,     17 ,  75392 ,266240 ,2035028061 ,3008839581 , 314.923065 , 217.588242 ,   561.377579 ,   382.686125 ,   9.361667 ,   4.652500 ,0.037929 ,0.037869 ,0.000060
02-12-25 22:45:57 ,02-12-25 22:45:57 ,    6 ,172.21.198.66 ,52142 ,173.194.57.234  ,  443 ,CON   ,0.344440 ,    1855 ,    6214 ,  64 , 120 ,      0 ,      0 ,   38299.847656 ,  153756.796875 ,      9 ,      7 ,  64128 ,268288 ,3520409495 , 854989484 , 206.111115 , 887.714294 ,  2867.261967 ,    74.446812 ,  43.055000 ,  46.194168 ,0.026223 ,0.026155 ,0.000068
02-12-25 22:45:57 ,02-12-25 22:45:58 ,   17 ,172.21.198.66 ,54416 ,173.194.57.234  ,  443 ,CON   ,0.341454 ,    3654 ,    7675 ,  64 ,  58 ,      0 ,      0 ,   77058.695312 ,  192114.468750 ,     10 ,     12 ,        ,       ,           ,           , 365.399994 , 639.583313 ,    54.925043 ,    60.972598 ,  37.939332 ,  26.635637 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:57 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,43526 ,162.159.61.4    ,  443 ,CON   ,0.916109 ,   11649 ,   23854 ,  64 ,  54 ,      0 ,      0 ,  100258.812500 ,  211973.437500 ,     69 ,     81 ,   8837 ,    20 , 780824426 ,2114395233 , 168.826080 , 294.493835 ,  2921.369213 ,  2865.252863 ,  22.330768 ,  19.056828 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,48834 ,173.194.141.9   ,  443 ,CON   ,0.524855 ,   13199 ,  807627 ,  64 ,  57 ,      0 ,      0 ,  199750.406250 ,14454102.000000 ,    140 ,    213 ,1494272 ,268800 ,1151248413 ,4071239599 ,  94.278572 ,3791.676025 ,   617.183600 ,   403.700623 ,   3.775935 ,   2.098604 ,0.039194 ,0.039142 ,0.000052
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,48284 ,142.251.186.132 ,  443 ,CON   ,0.451264 ,    3891 ,    2854 ,  64 , 120 ,      0 ,      0 ,   70001.054688 ,   51418.593750 ,     12 ,     11 ,  72704 ,266240 ,4132287566 ,2001254910 , 324.250000 , 259.454559 ,  2692.023327 ,    78.126000 ,  37.059184 ,  40.374500 ,0.047557 ,0.047519 ,0.000038
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,59948 ,173.194.191.234 ,  443 ,CON   ,0.280101 ,   11933 ,  655928 ,  64 , 121 ,      0 ,      0 ,  337935.250000 ,25005870.000000 ,    117 ,    165 ,1266176 ,265472 ,3261953332 ,3418209656 , 101.991455 ,3975.321289 ,   291.527159 ,   161.661608 ,   2.414664 ,   1.271805 ,0.030219 ,0.030189 ,0.000030
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,37130 ,142.251.186.119 ,  443 ,CON   ,0.108386 ,    3949 ,   12062 ,  64 , 121 ,      0 ,      0 ,  415587.375000 , 1181773.875000 ,     13 ,     14 ,  81536 ,266496 ,1169396767 ,3094964058 , 303.769226 , 861.571411 ,   431.398257 ,   431.142623 ,   5.848750 ,   5.832692 ,0.032616 ,0.032561 ,0.000055
02-12-25 22:45:58 ,02-12-25 22:45:58 ,   17 ,172.21.198.66 ,53092 ,173.194.191.234 ,  443 ,CON   ,0.087298 ,    3029 ,    7429 ,  64 ,  58 ,      0 ,      0 ,  250517.781250 , 1065699.875000 ,      6 ,     10 ,        ,       ,           ,           , 504.833344 , 742.900024 ,    20.271176 ,     9.867748 ,  16.126600 ,   5.577556 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,48568 ,142.250.115.132 ,  443 ,FIN   ,0.286151 ,    5567 ,   88671 ,  64 , 120 ,      2 ,      0 ,  169048.640625 , 2829680.000000 ,     44 ,     56 , 141568 ,267008 , 171761399 ,4095622706 , 126.522728 ,1583.410767 ,   405.549405 ,   325.921307 ,   5.988093 ,   4.476600 ,0.039959 ,0.039938 ,0.000021
02-12-25 22:45:58 ,02-12-25 22:45:58 ,   17 ,172.21.198.66 ,48838 ,173.194.141.9   ,  443 ,CON   ,0.094903 ,    3029 ,    7436 ,  64 ,  58 ,      0 ,      0 ,  212848.906250 ,  957151.250000 ,      6 ,     10 ,        ,       ,           ,           , 504.833344 , 743.599976 ,    21.061449 ,    16.040342 ,  18.980600 ,   6.215667 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:58 ,02-12-25 22:46:02 ,    6 ,172.21.198.66 ,56076 ,142.251.186.155 ,  443 ,CON   ,3.745703 ,    7118 ,    4408 ,  64 , 120 ,      0 ,      0 ,   14545.508789 ,    9100.640625 ,     19 ,     24 ,  70656 ,263936 ,3211995468 ,3404195684 , 374.631592 , 183.666672 , 26334.058465 , 23306.823128 , 206.065891 , 161.479297 ,0.031700 ,0.031679 ,0.000021
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,56090 ,142.251.186.155 ,  443 ,CON   ,0.163178 ,    2637 ,    6619 ,  64 , 120 ,      0 ,      0 ,  162545.234375 ,  368529.875000 ,      8 ,      8 ,  64384 ,267264 ,3738589496 ,2512239945 , 329.625000 , 827.375000 ,   760.284267 ,   873.645644 ,  16.227571 ,  17.961715 ,0.037482 ,0.037446 ,0.000036
02-12-25 22:45:58 ,02-12-25 22:45:58 ,   17 ,172.21.198.66 ,48769 ,142.250.115.132 ,  443 ,CON   ,0.119062 ,    3116 ,   14801 ,  64 ,  58 ,      0 ,      0 ,  197303.781250 , 1399341.625000 ,      7 ,     15 ,        ,       ,           ,           , 445.142853 , 986.733337 ,    17.644348 ,    12.006493 ,  18.050000 ,   5.641429 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:58 ,02-12-25 22:45:58 ,   17 ,172.21.198.66 ,46295 ,142.250.115.149 ,  443 ,CON   ,0.143249 ,    3533 ,    4499 ,  64 ,  57 ,      0 ,      0 ,  172678.343750 ,  398239.875000 ,      8 ,     10 ,        ,       ,           ,           , 441.625000 , 449.899994 ,    19.233977 ,    12.550844 ,  20.464143 ,   9.039777 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:58 ,02-12-25 22:45:58 ,   17 ,172.21.198.66 ,33626 ,142.250.114.155 ,  443 ,CON   ,0.159933 ,    4002 ,    4449 ,  64 ,  57 ,      0 ,      0 ,  215815.703125 ,  288778.718750 ,      6 ,     10 ,        ,       ,           ,           , 667.000000 , 444.899994 ,    23.098221 ,    18.047406 ,  24.724801 ,  12.327777 ,0.000000 ,0.000000 ,0.000000
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,42784 ,142.250.115.149 ,  443 ,CON   ,0.112825 ,    3421 ,    2619 ,  64 , 120 ,      0 ,      0 ,  220518.500000 ,  228496.671875 ,     11 ,     10 ,  69888 ,266752 ,1768174863 , 349513497 , 311.000000 , 261.899994 ,   644.568678 ,    14.643593 ,  11.282500 ,   9.173000 ,0.026008 ,0.025993 ,0.000015
02-12-25 22:45:58 ,02-12-25 22:45:58 ,    6 ,172.21.198.66 ,50048 ,142.251.116.119 ,  443 ,CON   ,0.150727 ,    1239 ,   20853 ,  64 , 120 ,      0 ,      0 ,   81411.570312 , 1297869.000000 ,     10 ,     18 , 741504 ,266496 ,2557822536 ,3818496384 , 123.900002 ,1158.500000 , 27827.182722 , 20731.230960 , 289.200312 , 161.236109 ,0.034403 ,0.034359 ,0.000044
