frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:11:47.423925000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.424813000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.425028000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.425028000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.425028000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.425217000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.425248000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.425303000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.425896000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.425989000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.461433000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.470051000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.470051000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.470200000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.470273000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.470273000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.470273000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.470383000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.470444000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.472421000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.472625000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.472710000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.474593000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.474593000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.474692000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.476289000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.476289000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.476454000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.478403000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.509271000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.547153000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.547336000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.579711000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.611126000 CDT","192.168.1.155","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:11:47.611494000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:11:48.324206000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:48.379495000 CDT","35.174.127.31","192.168.1.95","443","50317",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:11:48.432300000 CDT","192.168.1.95","35.174.127.31","50317","443",,,,,"6","TCP"
"Apr  5, 2025 01:11:48.512465000 CDT",,,"443","50359",,,,,,"TLSv1.2"
"Apr  5, 2025 01:11:48.512465000 CDT",,,"443","50359",,,,,,"TCP"
"Apr  5, 2025 01:11:48.512553000 CDT",,,"50359","443",,,,,,"TCP"
"Apr  5, 2025 01:11:49.336507000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.337005000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.379168000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.407648000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426748000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.426989000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.427047000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.427103000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.427139000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.427301000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.432517000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.432771000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.432775000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.435251000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.435396000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.435461000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.435461000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.435461000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.435544000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.439292000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.439385000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.439499000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.441080000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.441080000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.441233000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.441986000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.442127000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.443324000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.477592000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.504312000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.532819000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.534406000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.534651000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.534721000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.534851000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.535052000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:49.535135000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:49.535259000 CDT",,,,,"443","65125",,,,"QUIC"
