flow_id,src_ip,src_port,dst_ip,dst_port,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,Label,protocol,final_XGB_prediction,final_XGB_confidence,final_DT_prediction,final_DT_confidence
185.26.182.112-192.168.1.95-443-50318-6,192.168.1.95,50318,185.26.182.112,443,05/04/2025 01:12:02,169.0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11834.31952662722,169.0,0.0,169.0,169.0,169.0,169.0,0.0,169.0,169.0,0,0.0,0.0,0,0,0,0,0,0,40,0,11834.31952662722,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64177,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.9454012,BENIGN,1.0
192.168.1.1-192.168.1.95-53019-50503-6,192.168.1.95,50503,192.168.1.1,53019,05/04/2025 01:12:13,2478.0,3,5,197,2873,197,0,65.66666666666667,113.73800303035628,1460,0,574.6,786.9789069600278,1238902.340597256,3228.410008071025,354.0,450.2543725495623,1262.0,0.0,1363.0,681.5,887.4190103891171,1309.0,54.0,1216,304.0,291.9680347800651,692,0,0,0,0,0,72,112,1210.6537530266344,2017.7562550443904,0,1460,341.1111111111111,624.4764696216432,389970.8611111111,0,0,0,1,0,0,0,0,1.0,383.75,65.66666666666667,574.6,0,0,0,0,0,0,3,197,5,2873,64240,237,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.4746599,BENIGN,1.0
192.168.1.1-192.168.1.95-53019-50503-6,192.168.1.95,50503,192.168.1.1,53019,05/04/2025 01:12:13,15.0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0.0,0.0,0,0,0,0,0,0,40,0,133333.33333333334,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1026,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.9454012,BENIGN,1.0
192.168.1.95-20.72.205.209-50504-443-6,192.168.1.95,50504,20.72.205.209,443,05/04/2025 01:12:13,473090.0,11,10,1243,4291,744,0,113.0,222.1958595473822,1460,0,429.0999999999999,603.1037224226028,11697.562831596524,44.38901688896404,23654.500000000004,35374.01378130562,91188.0,0.0,473090.0,47309.0,46964.00423728794,113058.0,52.0,388929,43214.33333333333,49312.93410708797,111725,0,0,0,0,0,232,212,23.251389798981165,21.13762708998288,0,1460,251.54545454545448,455.49509717425445,207475.78354978352,0,0,0,1,0,0,0,0,0.0,263.5238095238095,113.0,429.1,0,0,0,0,0,0,11,1243,10,4291,64240,49150,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.4202716,BENIGN,1.0
192.168.1.95-20.72.205.209-50504-443-6,20.72.205.209,443,192.168.1.95,50504,05/04/2025 01:12:14,615.0,2,1,42,0,42,0,21.0,29.698484809834994,0,0,0.0,0.0,68292.68292682926,4878.048780487805,307.5,359.9173516239527,562.0,53.0,615.0,615.0,0.0,615.0,615.0,0,0.0,0.0,0,0,1,0,0,0,40,20,3252.032520325203,1626.0162601626016,0,42,21.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,28.0,21.0,0.0,0,0,0,0,0,0,2,42,1,0,49150,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.7272156,BENIGN,1.0
192.168.1.95-20.72.205.209-50505-443-6,192.168.1.95,50505,20.72.205.209,443,05/04/2025 01:12:14,530337.0,13,11,3854,4819,1440,0,296.46153846153845,525.2693936423822,1460,0,438.09090909090907,606.5062991503805,16353.75242534464,45.254243999570086,23058.13043478261,36803.23867085656,91709.0,0.0,530337.0,44194.75,55509.73823676019,144171.0,0.0,411775,41177.5,53375.67683307528,132377,210,0,0,0,0,272,232,24.512715499767133,20.74152849980296,0,1460,346.92,549.0248871104722,301428.32666666666,0,0,0,1,0,0,0,0,0.0,361.375,296.46153846153845,438.09090909090907,0,0,0,0,0,0,13,3854,11,4819,64240,49153,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,BENIGN,0.34717643,BENIGN,1.0
192.168.1.95-20.72.205.209-50505-443-6,20.72.205.209,443,192.168.1.95,50505,05/04/2025 01:12:15,805.0,2,1,42,0,42,0,21.0,29.698484809834994,0,0,0.0,0.0,52173.91304347826,3726.708074534162,402.5,490.0249993622774,749.0,56.0,805.0,805.0,0.0,805.0,805.0,0,0.0,0.0,0,0,1,0,0,0,40,20,2484.4720496894406,1242.2360248447203,0,42,21.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,28.0,21.0,0.0,0,0,0,0,0,0,2,42,1,0,49153,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.7272156,BENIGN,1.0
192.168.1.95-20.72.205.209-50507-443-6,192.168.1.95,50507,20.72.205.209,443,05/04/2025 01:12:15,430344.0,11,10,721,4271,222,0,65.54545454545455,90.91684512384232,1460,0,427.0999999999999,603.3361786304915,11600.022307735208,48.79817076571301,21517.2,33187.08748515556,82538.0,0.0,430344.0,43034.4,45888.2565204747,115432.0,42.0,353979,39331.0,44329.97361266979,99813,0,0,0,0,0,232,212,25.56094659156396,23.23722417414905,0,1460,226.9090909090908,441.7207595724129,195117.2294372294,0,0,0,1,0,0,0,0,0.0,237.7142857142857,65.54545454545455,427.1,0,0,0,0,0,0,11,721,10,4271,64240,49152,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.4202716,BENIGN,1.0
192.168.1.95-20.72.205.209-50507-443-6,20.72.205.209,443,192.168.1.95,50507,05/04/2025 01:12:16,500.0,2,1,42,0,42,0,21.0,29.698484809834994,0,0,0.0,0.0,84000.0,6000.0,250.0,264.45793616376875,437.0,63.0,500.0,500.0,0.0,500.0,500.0,0,0.0,0.0,0,0,1,0,0,0,40,20,4000.0,2000.0,0,42,21.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,28.0,21.0,0.0,0,0,0,0,0,0,2,42,1,0,49152,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.7272156,BENIGN,1.0
192.168.1.95-72.25.64.32-50512-443-6,192.168.1.95,50512,72.25.64.32,443,05/04/2025 01:12:19,326079.0,11,11,1779,4193,933,0,161.72727272727275,283.6706156474762,1460,0,381.1818181818181,559.6151924638605,18314.58020909044,67.46831289350126,15527.571428571428,29492.203596156443,77401.0,0.0,326079.0,32607.9,42046.151771198594,101619.0,23.0,258385,25838.5,36231.62260680885,79306,0,0,0,0,0,232,232,33.73415644675063,33.73415644675063,0,1460,259.65217391304355,440.6476234626043,194170.32806324112,0,0,0,1,0,0,0,0,1.0,271.45454545454544,161.72727272727272,381.1818181818182,0,0,0,0,0,0,11,1779,11,4193,64240,512,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.4396297,BENIGN,1.0
