Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.95-20.72.205.209-50507-443-6,192.168.1.95,50507,20.72.205.209,443,6,05/04/2025 01:12:15,430344,11,10,721.0,4271.0,222.0,0.0,65.54545454545455,90.91684512384232,1460.0,0.0,427.0999999999999,603.3361786304915,11600.022307735208,48.79817076571301,21517.199999999997,33187.087485155556,82538.0,0.0,430344.0,43034.4,45888.2565204747,115432.0,42.0,353979.0,39331.0,44329.97361266979,99813.0,0.0,0,0,0,0,232,212,25.560946591563958,23.237224174149052,0.0,1460.0,226.90909090909082,441.7207595724129,195117.2294372294,0,0,0,1,0,0,0,0,0.0,237.71428571428572,65.54545454545455,427.1,0,0,0,0,0,0,11,721,10,4271,64240,49152,5,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-20.72.205.209-50507-443-6,20.72.205.209,443,192.168.1.95,50507,6,05/04/2025 01:12:16,500,2,1,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0.0,0.0,0.0,0.0,84000.0,6000.0,250.0,264.45793616376875,437.0,63.0,500.0,500.0,0.0,500.0,500.0,0,0,0,0,0,1,0,0,0,40,20,4000.0,2000.0,0.0,42.0,21.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,28.0,21.0,0.0,0,0,0,0,0,0,2,42,1,0,49152,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-72.25.64.32-50512-443-6,192.168.1.95,50512,72.25.64.32,443,6,05/04/2025 01:12:19,326079,11,11,1779.0,4193.0,933.0,0.0,161.72727272727275,283.6706156474762,1460.0,0.0,381.18181818181813,559.6151924638605,18314.580209090436,67.46831289350126,15527.571428571428,29492.203596156443,77401.0,0.0,326079.0,32607.9,42046.151771198594,101619.0,23.0,258385.0,25838.5,36231.62260680885,79306.0,0.0,0,0,0,0,232,232,33.73415644675063,33.73415644675063,0.0,1460.0,259.65217391304355,440.6476234626043,194170.32806324112,0,0,0,1,0,0,0,0,1.0,271.45454545454544,161.72727272727272,381.1818181818182,0,0,0,0,0,0,11,1779,11,4193,64240,512,5,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-3.224.100.7-50513-443-6,192.168.1.95,50513,3.224.100.7,443,6,05/04/2025 01:12:22,278723,12,12,1746.0,4848.0,1189.0,0.0,145.5,335.5339029069939,1460.0,0.0,404.0,616.6341187151716,23657.896908400096,86.10699511701581,12118.391304347828,26203.807462308585,70751.0,0.0,278723.0,25338.454545454544,34202.27421784591,70983.0,18.0,213533.0,19412.090909090908,32742.72637534799,71213.0,0.0,0,0,0,0,252,252,43.05349755850791,43.05349755850791,0.0,1460.0,263.75999999999993,495.58166834538986,245601.18999999997,0,0,0,1,0,0,0,0,1.0,274.75,145.5,404.0,0,0,0,0,0,0,12,1746,12,4848,64240,180,6,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-3.224.100.7-50513-443-6,3.224.100.7,443,192.168.1.95,50513,6,05/04/2025 01:12:22,633,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,48973.143759873616,4739.336492890995,316.5,398.10111780802623,598.0,35.0,633.0,633.0,0.0,633.0,633.0,0,0,0,0,0,1,0,0,0,40,20,3159.55766192733,1579.778830963665,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,180,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-53019-50514-6,192.168.1.95,50514,192.168.1.1,53019,6,05/04/2025 01:12:30,2445,3,5,197.0,2873.0,197.0,0.0,65.66666666666667,113.73800303035628,1460.0,0.0,574.6,786.9789069600278,1255623.7218813905,3271.9836400817994,349.2857142857143,464.86331836562965,1308.0,0.0,1408.0,704.0,917.8246019801387,1353.0,55.0,1137.0,284.25,279.81228826959455,667.0,0.0,0,0,0,0,72,112,1226.993865030675,2044.9897750511248,0.0,1460.0,341.1111111111111,624.4764696216432,389970.8611111111,0,0,0,1,0,0,0,0,1.0,383.75,65.66666666666667,574.6,0,0,0,0,0,0,3,197,5,2873,64240,237,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-53019-50514-6,192.168.1.95,50514,192.168.1.1,53019,6,05/04/2025 01:12:30,25,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,80000.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,40,0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1026,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-4.153.29.52-50087-443-6,4.153.29.52,443,192.168.1.95,50087,6,05/04/2025 01:12:34,0,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,60,0,0.0,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,63,-1,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-4.153.29.52-50087-443-6,192.168.1.95,50087,4.153.29.52,443,6,05/04/2025 01:12:34,126,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15873.015873015873,126.0,0.0,126.0,126.0,126.0,126.0,0.0,126.0,126.0,0,0,0,0,0,0,0,0,0,40,0,15873.015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1020,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-8.48.85.230-50305-443-6,192.168.1.95,50305,8.48.85.230,443,6,05/04/2025 01:11:55,39714336,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.05035964846548108,3.9714336E7,0.0,3.9714336E7,3.9714336E7,3.9714336E7,3.9714336E7,0.0,3.9714336E7,3.9714336E7,0,0,0,0,0,0,0,0,0,40,0,0.05035964846548108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1026,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-8.48.85.230-50294-443-6,192.168.1.95,50294,8.48.85.230,443,6,05/04/2025 01:11:57,37241419,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.053703646469539734,3.7241419E7,0.0,3.7241419E7,3.7241419E7,3.7241419E7,3.7241419E7,0.0,3.7241419E7,3.7241419E7,0,0,0,0,0,0,0,0,0,40,0,0.053703646469539734,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1026,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-443-50525-6,192.168.1.95,50525,192.168.1.1,443,6,05/04/2025 01:12:35,5979,6,4,1744.0,1110.0,1460.0,0.0,290.6666666666667,581.393727749678,1110.0,0.0,277.5,555.0,477337.3473825054,1672.5204883759827,664.3333333333334,1126.2494173139446,3403.0,0.0,5979.0,1195.8,1734.8288676408401,4090.0,0.0,4218.0,1406.0,1741.7373510377504,3403.0,201.0,0,0,0,0,132,92,1003.5122930255895,669.0081953503931,0.0,1460.0,259.4545454545455,518.5202722433065,268863.2727272727,0,0,0,1,0,0,0,0,0.0,285.4,290.6666666666667,277.5,0,0,0,0,0,0,6,1744,4,1110,64240,274,3,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-80-50521-6,192.168.1.95,50521,192.168.1.1,80,6,05/04/2025 01:12:35,5092749,4,4,266.0,142.0,266.0,0.0,66.5,133.0,142.0,0.0,35.5,71.0,80.11390311990635,1.57086084548836,727535.5714285715,1902068.7225634845,5040823.0,55.0,51926.0,17308.666666666668,28494.34000522443,50205.0,312.0,5091395.0,1697131.6666666667,2938586.450251436,5090319.0,197.0,0,0,0,0,92,92,0.78543042274418,0.78543042274418,0.0,266.0,45.333333333333336,95.1472542956443,9053.000000000002,0,0,0,1,0,0,0,0,1.0,51.0,66.5,35.5,0,0,0,0,0,0,4,266,4,142,64240,237,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-239.255.255.250-57543-1900-17,192.168.1.1,57543,239.255.255.250,1900,17,05/04/2025 01:12:30,258430,24,0,9930.0,0.0,454.0,359.0,413.75,37.71546793742762,0,0,0,0,38424.33154045583,92.86847502224974,11236.08695652174,53682.258774040085,257492.0,0.0,258430.0,11236.08695652174,53682.258774040085,257492.0,0.0,0,0,0,0,0,0,0,0,0,192,0,92.86847502224974,0.0,359.0,454.0,412.16,37.7675786886054,1426.3900000000003,0,0,0,0,0,0,0,0,0.0,429.3333333333333,413.75,0.0,0,0,0,0,0,0,24,9930,0,0,-1,-1,23,8,0,0,0,0,0,0,0,0,No Label
140.82.114.22-192.168.1.95-443-50416-6,192.168.1.95,50416,140.82.114.22,443,6,05/04/2025 01:12:22,44464,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.490104354084206,44.98020870816841,44464.0,0.0,44464.0,44464.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,22.490104354084206,22.490104354084206,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,1,1,0,1025,73,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.155-224.0.0.251-5353-5353-17,192.168.1.155,5353,224.0.0.251,5353,17,05/04/2025 01:11:43,23169571,3,0,938.0,0.0,490.0,224.0,312.6666666666667,153.57517160444047,0,0,0,0,40.484133262545086,0.12948017034929132,1.15847855E7,1.0738383087287607E7,1.9177969E7,3991602.0,2.3169571E7,1.15847855E7,1.0738383087287607E7,1.9177969E7,3991602.0,0,0,0,0,0,0,0,0,0,24,0,0.12948017034929132,0.0,224.0,490.0,290.5,133.0,17689.0,0,0,0,0,0,0,0,0,0.0,387.3333333333333,312.6666666666667,0.0,0,0,0,0,0,0,3,938,0,0,-1,-1,2,8,3991602.0,0.0,3991602.0,3991602.0,1.9177969E7,0.0,1.9177969E7,1.9177969E7,No Label
140.82.114.22-192.168.1.95-443-50419-6,192.168.1.95,50419,140.82.114.22,443,6,05/04/2025 01:12:22,44209,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.619828541699654,45.23965708339931,44209.0,0.0,44209.0,44209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,22.619828541699654,22.619828541699654,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,1,1,0,1024,71,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-13.107.6.175-50386-443-6,192.168.1.95,50386,13.107.6.175,443,6,05/04/2025 01:12:20,21203,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.16313729189266,94.32627458378532,21203.0,0.0,21203.0,21203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,47.16313729189266,47.16313729189266,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,1,1,0,1026,16379,0,20,0,0,0,0,0,0,0,0,No Label
