,Data Set,DT TN,DT FP,DT FN,DT TP,LR TN,LR FP,LR FN,LR TP,MLP TN,MLP FP,MLP FN,MLP TP,NB TN,NB FP,NB FN,NB TP,SVM TN,SVM FP,SVM FN,SVM TP,XGB TN,XGB FP,XGB FN,XGB TP
0,SCAN_CIC-IDS_CIC,2221676,49446,157353,1451,2120620,150502,149759,9045,2152954,118168,158700,104,2225961,45161,158473,331,2122462,148660,144960,13844,2236454,34668,157805,999
1,SCAN_ToN-IoT_CIC,2413579,100480,30903,5302,371509,2142550,2974,33231,0,2514059,0,36205,196,2513863,0,36205,371509,2142550,2974,33231,2430214,83845,30774,5431
2,SCAN_BoT-IoT_CIC,36999,52235,1218867,2294541,82584,6650,3430912,82496,83525,5709,3451554,61854,89182,52,3499986,13422,69732,19502,3028330,485078,87270,1964,3444191,69217
