,Data Set,DT TN,DT FP,DT FN,DT TP,LR TN,LR FP,LR FN,LR TP,MLP TN,MLP FP,MLP FN,MLP TP,NB TN,NB FP,NB FN,NB TP,SVM TN,SVM FP,SVM FN,SVM TP,XGB TN,XGB FP,XGB FN,XGB TP
0,SCAN_NB15_CIC,0,0,14244,4423,0,0,16935,1732,0,0,17320,1347,0,0,16941,1726,0,0,18661,6,0,0,2612,16055
1,SCAN_CIC-IDS_CIC,1570963,700159,156487,2317,2238781,32341,157054,1750,2252096,19026,158581,223,1967412,303710,151289,7515,2238437,32685,155107,3697,1080912,1190210,132695,26109
2,SCAN_BoT-IoT_CIC,56360,32874,2393085,1120323,56635,32599,3291331,222077,88354,880,3512189,1219,72421,16813,3365190,148218,56394,32840,3300429,212979,76758,12476,2027007,1486401
