,Data Set,DT TN,DT FP,DT FN,DT TP,LR TN,LR FP,LR FN,LR TP,MLP TN,MLP FP,MLP FN,MLP TP,NB TN,NB FP,NB FN,NB TP,SVM TN,SVM FP,SVM FN,SVM TP,XGB TN,XGB FP,XGB FN,XGB TP
0,SCAN_NB15_CIC,0,0,12866,5801,0,0,10344,8323,0,0,11691,6976,0,0,11762,6905,0,0,11343,7324,0,0,13764,4903
1,SCAN_CIC-IDS_CIC,1771507,499615,136587,22217,1556755,714367,146522,12282,1781346,489776,155700,3104,1768373,502749,158553,251,1622446,648676,147120,11684,2116507,154615,103396,55408
2,SCAN_ToN-IoT_CIC,2492229,21830,33835,2370,2142550,371509,33231,2974,0,2514059,0,36205,0,2514059,0,36205,2514027,32,36205,0,2335225,178834,11040,25165
