,Data Set,DT TN,DT FP,DT FN,DT TP,LR TN,LR FP,LR FN,LR TP,MLP TN,MLP FP,MLP FN,MLP TP,NB TN,NB FP,NB FN,NB TP,SVM TN,SVM FP,SVM FN,SVM TP,XGB TN,XGB FP,XGB FN,XGB TP
0,SCAN_NB15_CIC,0,0,18665,2,0,0,18586,81,0,0,18662,5,0,0,18660,7,0,0,18596,71,0,0,18667,0
1,SCAN_ToN-IoT_CIC,2501684,12375,29637,6568,2514059,0,36205,0,0,2514059,0,36205,2514059,0,36205,0,2514059,0,36205,0,2512909,1150,35957,248
2,SCAN_BoT-IoT_CIC,89067,167,3513086,322,83982,5252,3494554,18854,80776,8458,3465976,47432,85031,4203,3494223,19185,80443,8791,3484181,29227,89223,11,3513255,153
