frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:15:35.509481000 CDT","192.168.1.49","239.255.255.250",,,"52323","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:35.613744000 CDT","192.168.1.49","239.255.255.250",,,"52323","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:35.633097000 CDT","192.168.1.49","239.255.255.250",,,"52323","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:35.656703000 CDT","192.168.1.49","239.255.255.250",,,"52323","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:35.673391000 CDT","192.168.1.49","239.255.255.250",,,"52323","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:35.694902000 CDT","192.168.1.49","239.255.255.250",,,"52323","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:35.717134000 CDT","192.168.1.49","239.255.255.250",,,"52323","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:38.614581000 CDT","192.168.1.95","140.82.112.25","50283","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:38.662599000 CDT","140.82.112.25","192.168.1.95","443","50283",,,,,"6","TCP"
"Apr  5, 2025 01:15:42.722611000 CDT","192.168.1.95","40.71.11.167","50377","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:42.810434000 CDT","40.71.11.167","192.168.1.95","443","50377",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.757538000 CDT",,,,,"62485","53",,,,"DNS"
"Apr  5, 2025 01:15:46.757797000 CDT",,,,,"57215","53",,,,"DNS"
"Apr  5, 2025 01:15:46.758012000 CDT",,,,,"57608","53",,,,"DNS"
"Apr  5, 2025 01:15:46.760911000 CDT",,,,,"49589","53",,,,"DNS"
"Apr  5, 2025 01:15:46.761237000 CDT",,,,,"59899","53",,,,"DNS"
"Apr  5, 2025 01:15:46.761473000 CDT",,,,,"53","49589",,,,"DNS"
"Apr  5, 2025 01:15:46.761797000 CDT",,,,,"53","59899",,,,"DNS"
"Apr  5, 2025 01:15:46.762259000 CDT","192.168.1.95","40.71.11.167","50377","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.762542000 CDT",,,,,"62307","53",,,,"DNS"
"Apr  5, 2025 01:15:46.762775000 CDT",,,,,"63144","53",,,,"DNS"
"Apr  5, 2025 01:15:46.762794000 CDT",,,,,"53","62307",,,,"DNS"
"Apr  5, 2025 01:15:46.763003000 CDT",,,,,"49416","53",,,,"DNS"
"Apr  5, 2025 01:15:46.763409000 CDT",,,,,"53","63144",,,,"DNS"
"Apr  5, 2025 01:15:46.763619000 CDT",,,,,"53","49416",,,,"DNS"
"Apr  5, 2025 01:15:46.763913000 CDT","192.168.1.95","192.168.1.1","50556","80",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.765070000 CDT","192.168.1.1","192.168.1.95","80","50556",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.765132000 CDT","192.168.1.95","192.168.1.1","50556","80",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.765289000 CDT","192.168.1.95","192.168.1.1","50556","80",,,,,"6","HTTP"
"Apr  5, 2025 01:15:46.765835000 CDT","192.168.1.1","192.168.1.95","80","50556",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.766037000 CDT","192.168.1.1","192.168.1.95","80","50556",,,,,"6","HTTP"
"Apr  5, 2025 01:15:46.766493000 CDT",,,,,"52188","53",,,,"DNS"
"Apr  5, 2025 01:15:46.766705000 CDT",,,,,"54178","53",,,,"DNS"
"Apr  5, 2025 01:15:46.766926000 CDT",,,,,"64178","53",,,,"DNS"
"Apr  5, 2025 01:15:46.767149000 CDT",,,,,"53","52188",,,,"DNS"
"Apr  5, 2025 01:15:46.767385000 CDT",,,,,"53","54178",,,,"DNS"
"Apr  5, 2025 01:15:46.767385000 CDT",,,,,"53","64178",,,,"DNS"
"Apr  5, 2025 01:15:46.767845000 CDT","192.168.1.95","192.168.1.1","50557","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.769183000 CDT","192.168.1.1","192.168.1.95","443","50557",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.769228000 CDT","192.168.1.95","192.168.1.1","50557","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.769634000 CDT","192.168.1.95","192.168.1.1","50557","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.769634000 CDT","192.168.1.95","192.168.1.1","50557","443",,,,,"6","TLSv1"
"Apr  5, 2025 01:15:46.769870000 CDT","192.168.1.1","192.168.1.95","443","50557",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.769870000 CDT","192.168.1.1","192.168.1.95","443","50557",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.773348000 CDT","192.168.1.1","192.168.1.95","443","50557",,,,,"6","TLSv1.3"
"Apr  5, 2025 01:15:46.773567000 CDT","192.168.1.95","192.168.1.1","50557","443",,,,,"6","TLSv1.3"
"Apr  5, 2025 01:15:46.773630000 CDT","192.168.1.95","192.168.1.1","50557","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.774160000 CDT","192.168.1.1","192.168.1.95","443","50557",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.774174000 CDT","192.168.1.95","192.168.1.1","50557","443",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.799445000 CDT",,,,,"53","57608",,,,"DNS"
"Apr  5, 2025 01:15:46.806569000 CDT",,,,,"53","62485",,,,"DNS"
"Apr  5, 2025 01:15:46.806788000 CDT",,,,,"53","57215",,,,"DNS"
"Apr  5, 2025 01:15:46.807322000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.817522000 CDT","192.168.1.95","192.168.1.1","50556","80",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.826579000 CDT","40.71.11.167","192.168.1.95","443","50377",,,,,"6","TCP"
"Apr  5, 2025 01:15:46.834404000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.834440000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.834729000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.834729000 CDT",,,"50558","443",,,,,,"TLSv1"
"Apr  5, 2025 01:15:46.875223000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.875436000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.875609000 CDT",,,"50558","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.906940000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.907153000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.907153000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.907167000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.907758000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.907771000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.907962000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.907962000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.907977000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.908224000 CDT",,,"50558","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.908361000 CDT",,,"50558","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.908516000 CDT",,,"50558","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.943672000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.943876000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.943876000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.943876000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.943893000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944041000 CDT",,,"50558","443",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.944481000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944496000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944690000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944690000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944690000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944690000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944690000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.944715000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.947298000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.947298000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.947328000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.949200000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.949200000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.949226000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.974221000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.974453000 CDT",,,"443","50558",,,,,,"TLSv1.3"
"Apr  5, 2025 01:15:46.974472000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.975076000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.975285000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.975299000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.977252000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.977252000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.977286000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.984880000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.984880000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.984923000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.985319000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.985319000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.985337000 CDT",,,"50558","443",,,,,,"TCP"
"Apr  5, 2025 01:15:46.986568000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.986568000 CDT",,,"443","50558",,,,,,"TCP"
"Apr  5, 2025 01:15:46.986600000 CDT",,,"50558","443",,,,,,"TCP"
