Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.95-40.71.11.167-50377-443-6,192.168.1.95,50377,40.71.11.167,443,6,05/04/2025 01:15:42,4039648,2,1,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.24754632086756076,0.7426389626026823,2019824.0,2732262.016718382,3951825.0,87823.0,4039648.0,4039648.0,0.0,4039648.0,4039648.0,0,0,0,0,0,0,0,0,0,40,32,0.4950926417351215,0.24754632086756076,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,2,1,1,0,1024,16381,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-443-50557-6,192.168.1.95,50557,192.168.1.1,443,6,05/04/2025 01:15:46,5785,6,4,1776.0,1110.0,1460.0,0.0,296.0,581.1368169372854,1110.0,0.0,277.5,555.0,498876.404494382,1728.608470181504,642.7777777777778,1142.51616813262,3478.0,0.0,5785.0,1157.0,1647.4782244387936,3933.0,0.0,4165.0,1388.3333333333333,1842.01583417009,3478.0,0.0,0,0,0,0,132,92,1037.1650821089022,691.4433880726016,0.0,1460.0,262.3636363636363,518.5763729147853,268921.45454545453,0,0,0,1,0,0,0,0,0.0,288.6,296.0,277.5,0,0,0,0,0,0,6,1776,4,1110,64240,274,3,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-443-50561-6,192.168.1.95,50561,192.168.1.1,443,6,05/04/2025 01:15:48,5247,6,4,1744.0,1110.0,1460.0,0.0,290.6666666666667,581.393727749678,1110.0,0.0,277.5,555.0,543929.8646845816,1905.850962454736,583.0,1023.7023493183945,3263.0,0.0,5247.0,1049.4,1708.1325475501014,4070.0,0.0,4259.0,1419.6666666666665,1623.4017781600871,3263.0,203.0,0,0,0,0,132,92,1143.5105774728415,762.3403849818944,0.0,1460.0,259.4545454545455,518.5202722433065,268863.2727272727,0,0,0,1,0,0,0,0,0.0,285.4,290.6666666666667,277.5,0,0,0,0,0,0,6,1744,4,1110,64240,274,3,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-80-50556-6,192.168.1.95,50556,192.168.1.1,80,6,05/04/2025 01:15:46,5912855,4,4,252.0,142.0,252.0,0.0,63.0,126.0,142.0,0.0,35.5,71.0,66.63447691512813,1.3529843028452413,844693.5714285715,2211291.68483467,5859246.0,62.0,53609.0,17869.666666666668,29764.256572831335,52233.0,157.0,5911698.0,1970566.0,3412282.9967136374,5910731.0,202.0,0,0,0,0,92,92,0.6764921514226206,0.6764921514226206,0.0,252.0,43.77777777777778,91.11775043560088,8302.444444444445,0,0,0,1,0,0,0,0,1.0,49.25,63.0,35.5,0,0,0,0,0,0,4,252,4,142,64240,237,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-80-50559-6,192.168.1.95,50559,192.168.1.1,80,6,05/04/2025 01:15:48,6131057,4,4,276.0,142.0,276.0,0.0,69.0,138.0,142.0,0.0,35.5,71.0,68.1774773909295,1.304832103175684,875865.2857142858,2293554.3002614025,6076971.0,63.0,54086.0,18028.666666666668,30359.528608549463,53084.0,292.0,6130410.0,2043470.0,3538534.7787557496,6129418.0,202.0,0,0,0,0,92,92,0.652416051587842,0.652416051587842,0.0,276.0,46.44444444444444,98.06007229131426,9615.777777777777,0,0,0,1,0,0,0,0,1.0,52.25,69.0,35.5,0,0,0,0,0,0,4,276,4,142,64240,237,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-104.18.27.90-50290-443-6,192.168.1.95,50290,104.18.27.90,443,6,05/04/2025 01:16:00,39708940,1,3,1.0,39.0,1.0,1.0,1.0,0.0,39.0,0.0,13.0,22.516660498395403,1.0073298355483677,0.10073298355483677,1.3236313333333332E7,2.289900532619691E7,3.9677801E7,0.0,0,0,0,0,0,3.9677801E7,1.98389005E7,2.8056442149670377E7,3.9677801E7,0.0,0,0,0,0,20,72,0.025183245888709193,0.07554973766612758,0.0,39.0,8.2,17.224981857755324,296.70000000000005,0,0,0,0,1,0,0,0,3.0,10.25,1.0,13.0,0,0,0,0,0,0,1,1,3,39,2056,9,0,20,31139.0,0.0,31139.0,31139.0,3.9677801E7,0.0,3.9677801E7,3.9677801E7,No Label
192.168.1.95-104.18.27.90-50290-443-6,192.168.1.95,50290,104.18.27.90,443,6,05/04/2025 01:16:40,222,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9009.009009009009,222.0,0.0,222.0,222.0,222.0,222.0,0.0,222.0,222.0,0,0,0,0,0,0,0,0,0,40,0,9009.009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2056,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.192-224.0.0.251-5353-5353-17,192.168.1.192,5353,224.0.0.251,5353,17,05/04/2025 01:15:30,52049787,5,0,290.0,0.0,58.0,58.0,58.0,0.0,0,0,0,0,5.571588602274203,0.0960618724530035,1.301244675E7,2.269301115462323E7,4.702238E7,1003664.0,5.2049787E7,1.301244675E7,2.269301115462323E7,4.702238E7,1003664.0,0,0,0,0,0,0,0,0,0,40,0,0.0960618724530035,0.0,58.0,58.0,58.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,69.6,58.0,0.0,0,0,0,0,0,0,5,290,0,0,-1,-1,4,8,1010240.0,0.0,1010240.0,1010240.0,4.702238E7,0.0,4.702238E7,4.702238E7,No Label
192.168.1.49-239.255.255.250-52323-1900-17,192.168.1.49,52323,239.255.255.250,1900,17,05/04/2025 01:15:35,119997923,25,0,10596.0,0.0,450.0,384.0,423.84,27.88320880625709,0,0,0,0,88.30152835228657,0.20833693929852437,4999913.458333334,1.6840820739099313E7,5.968015E7,16688.0,1.19997923E8,4999913.458333334,1.6840820739099313E7,5.968015E7,16688.0,0,0,0,0,0,0,0,0,0,200,0,0.20833693929852437,0.0,384.0,450.0,422.3076923076923,28.41516388236285,807.4215384615381,0,0,0,0,0,0,0,0,0.0,439.2,423.84,0.0,0,0,0,0,0,0,25,10596,0,0,-1,-1,24,8,320435.0,2309.410747355264,322068.0,318802.0,5.96785265E7,2295.9757185127196,5.968015E7,5.9676903E7,No Label
140.82.112.25-192.168.1.95-443-50283-6,192.168.1.95,50283,140.82.112.25,443,6,05/04/2025 01:15:38,119988722,5,6,61.0,50.0,29.0,1.0,12.2,15.336231610144651,25.0,0.0,8.333333333333334,12.909944487358057,0.9250869427545032,0.09167528261531113,1.1998872200000001E7,1.8423601152424917E7,4.5004767E7,283.0,1.19988722E8,2.99971805E7,1.7381755964385927E7,4.5052849E7,1.4938064E7,7.4935937E7,1.49871874E7,1.8372808206589714E7,4.5049854E7,44245.0,0,0,0,0,100,144,0.041670583006959604,0.05000469960835153,0.0,29.0,9.333333333333332,13.110255065359631,171.87878787878788,0,0,0,0,1,0,0,0,1.0,10.181818181818182,12.2,8.333333333333334,0,0,0,0,0,0,5,61,6,50,1022,74,4,20,46710.25,1895.004199643544,48365.0,44245.0,2.995047025E7,1.7382555406500496E7,4.5004767E7,1.4889755E7,No Label
